origin_lat,origin_lng,dest_lat,dest_lng,dist
32.22489,118.74434,32.24305,118.73103,3372.0
31.98349,118.73863,32.05495,118.76509,11154.0
32.152657,118.932457,32.053785,118.928756,15194.0
32.02341,118.84906,32.014713,118.729965,15221.0
32.158088,118.696279,32.173834,118.7023,2357.0
32.146015,118.890567,32.129847,118.880796,5548.0
32.14861,118.87341,32.128875,118.89132,5293.0
32.137462,118.900179,32.114033,118.873639,5833.0
32.035724,118.785273,32.03943,118.797724,2323.0
32.14779,118.85977,32.122547,118.877837,5545.0
32.173886,118.702247,32.067732,118.777005,15969.0
32.056979,118.774184,32.146015,118.817599,14715.0
32.039105,118.796443,32.047487,118.772373,3259.0
32.13637,118.814444,32.119487,118.870444,9408.0
32.115331,118.875801,32.037205,118.78731,17885.0
32.0593,118.75296,32.04995,118.76391,2482.0
32.057091,118.666286,32.07885,118.699,5614.0
32.065318,118.657132,32.071323,118.666768,2390.0
32.03641,118.779,32.063402,118.751122,5355.0
32.046904,118.78326,32.045338,118.740545,5087.0
32.09226,118.668385,32.067198,118.638782,8353.0
32.02319,118.713939,32.046402,118.780396,12575.0
32.081601,118.706136,32.044952,118.666231,5918.0
32.02649,118.7426,32.03602,118.7846,7355.0
32.070315,118.770882,32.08593,118.796683,5851.0
32.059048,118.782327,32.092655,118.669128,14324.0
32.13278,118.94138,32.096798,118.938031,5811.0
32.123723,118.989204,32.149157,119.008592,5549.0
32.137913,118.990157,32.149113,119.008701,3274.0
32.105049,118.94397,32.052787,118.881924,10598.0
32.141119,118.994871,32.117523,118.951714,6649.0
32.13794,118.990581,32.116279,118.975636,3912.0
32.052162,118.664875,32.034802,118.642009,3894.0
32.11783106485467,118.98625393803458,32.137965,118.996229,3997.0
32.101933359703445,118.9322396138167,32.11622,118.9355,2109.0
31.98967,118.73128,32.038874,118.636246,14845.0
32.01743,118.72658,31.99307,118.7332,4405.0
31.96068,118.82237,31.98287,118.73544,14534.0
32.094101,118.932487,31.967084,118.799208,24196.0
32.11595574541089,118.97581075741373,32.143744,119.009898,6087.0
32.060172,118.742165,32.024493,118.714415,5669.0
31.977912,118.733299,31.913186,118.846106,18717.0
32.12174,118.98341,32.116341,118.977501,2306.0
32.03689380086896,118.64205813098226,32.057091,118.666286,4482.0
31.944228,118.882603,31.929252,118.851616,4577.0
